"Nombre de imagen","PID","Nombre de sesión","Núm. de sesión","Uso de memoria","Estado","Nombre de usuario","Tiempo de CPU","Título de ventana"
"svchost.exe","2332","Services","0","7.572 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","2340","Services","0","6.584 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"svchost.exe","2368","Services","0","17.980 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","2596","Services","0","10.712 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"svchost.exe","2616","Services","0","5.720 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","2640","Services","0","5.940 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"svchost.exe","2648","Services","0","9.912 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"svchost.exe","2696","Services","0","10.360 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","2788","Services","0","8.604 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"ctfmon.exe","2860","Console","1","27.012 KB","Running","FUENTESTUDENT\fuentestudent","0:00:02","N/D"
"svchost.exe","2928","Services","0","5.520 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"svchost.exe","2432","Services","0","14.904 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","424","Services","0","15.696 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","1188","Services","0","9.376 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"spoolsv.exe","1156","Services","0","15.456 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","3096","Services","0","7.008 KB","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:00","N/D"
"svchost.exe","3112","Services","0","14.236 KB","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:00","N/D"
"svchost.exe","3120","Services","0","20.508 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:03","N/D"
"svchost.exe","3136","Services","0","6.976 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","3188","Services","0","18.784 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","3200","Services","0","7.732 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"svchost.exe","3212","Services","0","4.228 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"MsMpEng.exe","3284","Services","0","194.184 KB","Unknown","NT AUTHORITY\SYSTEM","0:02:53","N/D"
"MpDefenderCoreService.exe","3304","Services","0","23.808 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/D"
"service_update.exe","3312","Services","0","10.512 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"vmcompute.exe","3368","Services","0","13.888 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","3424","Services","0","10.248 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","3472","Services","0","8.512 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","3724","Services","0","4.836 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"service_update.exe","3800","Services","0","6.244 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","3952","Services","0","7.848 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"sihost.exe","3352","Console","1","26.840 KB","Running","FUENTESTUDENT\fuentestudent","0:00:00","N/D"
"svchost.exe","2684","Console","1","28.200 KB","Unknown","FUENTESTUDENT\fuentestudent","0:00:01","N/D"
"svchost.exe","3488","Console","1","7.676 KB","Unknown","FUENTESTUDENT\fuentestudent","0:00:00","N/D"
"svchost.exe","4204","Console","1","28.472 KB","Running","FUENTESTUDENT\fuentestudent","0:00:01","Windows Push Notifications Platform"
"taskhostw.exe","1796","Console","1","16.308 KB","Running","FUENTESTUDENT\fuentestudent","0:00:00","Task Host Window"
"svchost.exe","796","Services","0","14.876 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:02","N/D"
"svchost.exe","4236","Services","0","4.316 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"svchost.exe","2964","Services","0","18.924 KB","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:12","N/D"
"svchost.exe","3900","Services","0","17.640 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"explorer.exe","2808","Console","1","268.336 KB","Running","FUENTESTUDENT\fuentestudent","0:00:40","N/D"
"svchost.exe","2264","Console","1","20.000 KB","Running","FUENTESTUDENT\fuentestudent","0:00:00","N/D"
"svchost.exe","712","Services","0","10.820 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","4064","Services","0","7.976 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"svchost.exe","3560","Console","1","13.720 KB","Unknown","FUENTESTUDENT\fuentestudent","0:00:00","N/D"
"NisSrv.exe","1248","Services","0","11.244 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"SearchHost.exe","2080","Console","1","95.124 KB","Running","FUENTESTUDENT\fuentestudent","0:00:07","Buscar"
"StartMenuExperienceHost.exe","3992","Console","1","98.156 KB","Running","FUENTESTUDENT\fuentestudent","0:00:02","Inicio"
"RuntimeBroker.exe","1760","Console","1","21.776 KB","Running","FUENTESTUDENT\fuentestudent","0:00:00","OleMainThreadWndName"
"RuntimeBroker.exe","3496","Console","1","30.268 KB","Running","FUENTESTUDENT\fuentestudent","0:00:00","N/D"
"svchost.exe","4320","Console","1","7.208 KB","Unknown","FUENTESTUDENT\fuentestudent","0:00:00","N/D"
"crowdsec.exe","3960","Services","0","58.672 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:44","N/D"
"svchost.exe","2388","Services","0","7.176 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"svchost.exe","4880","Services","0","12.064 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"cs-windows-firewall-bouncer.exe","4072","Services","0","53.576 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:03","N/D"
"dllhost.exe","5040","Console","1","16.496 KB","Running","FUENTESTUDENT\fuentestudent","0:00:00","OleMainThreadWndName"
"vmmemCmZygote","992","Services","0","16 KB","Unknown","NT VIRTUAL MACHINE\17AC63ED-AE92-4CBF-8665-2EAC85B63F0F","0:00:00","N/D"
"SecurityHealthSystray.exe","5152","Console","1","11.428 KB","Running","FUENTESTUDENT\fuentestudent","0:00:00","N/D"
"SecurityHealthService.exe","5180","Services","0","21.836 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:01","N/D"
"svchost.exe","5440","Services","0","8.376 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"svchost.exe","5520","Services","0","14.652 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"Taskmgr.exe","4540","Console","1","98.260 KB","Not Responding","FUENTESTUDENT\fuentestudent","0:00:08","Administrador de tareas"
"mmc.exe","5552","Console","1","18.868 KB","Running","FUENTESTUDENT\fuentestudent","0:00:02","Servicios"
"Cloudflare WARP.exe","5104","Console","1","232.664 KB","Running","FUENTESTUDENT\fuentestudent","0:00:09","Hidden Window"
"warp-svc.exe","2284","Services","0","88.960 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:08","N/D"
"svchost.exe","5768","Services","0","12.072 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"svchost.exe","1436","Services","0","8.956 KB","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/D"
"ShellExperienceHost.exe","4284","Console","1","19.920 KB","Running","FUENTESTUDENT\fuentestudent","0:00:01","Nueva notificación"
"svchost.exe","1980","Console","1","11.336 KB","Unknown","FUENTESTUDENT\fuentestudent","0:00:00","N/D"
"Taskmgr.exe","5292","Console","1","109.184 KB","Running","FUENTESTUDENT\fuentestudent","0:00:51","Administrador de tareas"
"RuntimeBroker.exe","5800","Console","1","22.612 KB","Running","FUENTESTUDENT\fuentestudent","0:00:00","OLEChannelWnd"
"pwsh.exe","4448","Console","1","103.852 KB","Running","FUENTESTUDENT\fuentestudent","0:00:04","Administrador:  Gemini - www "
"conhost.exe","896","Console","1","21.788 KB","Running","FUENTESTUDENT\fuentestudent","0:00:05","N/D"
"wordpad.exe","5908","Console","1","63.144 KB","Running","FUENTESTUDENT\fuentestudent","0:00:07","Prompt ciberseguridad - WordPad"
"Widgets.exe","2780","Console","1","18.848 KB","Unknown","FUENTESTUDENT\fuentestudent","0:00:00","N/D"
"svchost.exe","4216","Console","1","10.440 KB","Unknown","FUENTESTUDENT\fuentestudent","0:00:00","N/D"
"node.exe","2756","Console","1","115.360 KB","Unknown","FUENTESTUDENT\fuentestudent","0:01:39","N/D"
"svchost.exe","6472","Services","0","12.024 KB","Unknown","NT AUTHORITY\SYSTEM","0:00:00","N/D"
"cmd.exe","7336","Console","1","5.116 KB","Unknown","FUENTESTUDENT\fuentestudent","0:00:00","N/D"
"tasklist.exe","5360","Console","1","11.108 KB","Unknown","FUENTESTUDENT\fuentestudent","0:00:00","N/D"
"WmiPrvSE.exe","5964","Services","0","10.520 KB","Unknown","NT AUTHORITY\NETWORK SERVICE","0:00:00","N/D"
